EI,WI,EC,WC,EA,WA,AM,LC,MC,ND,PfW,SE,E,A,C,N,O,Test-1,Test-2,Test-3,BXI,CXI,TXI,Composite,Final Label
5.0,5.0,4.0,5.0,3.0,2.0,4.33,2.5,4.25,3.5,4.67,3.75,26.0,32.0,38.0,30.0,28.0,48,52,44,148,140,116.0,56.193588546529725,1
6.0,9.0,4.0,5.0,7.0,4.0,1.67,1.75,3.5,2.5,3.67,3.5,32.0,31.0,30.0,24.0,30.0,54,42,44,150,152,125.0,68.35901027077499,1
3.0,1.0,8.0,5.0,0.0,2.0,3.33,0.5,4.75,4.5,5.0,4.5,17.0,30.0,35.0,20.0,26.0,42,54,48,138,132,103.0,39.904295051353884,0
5.0,4.0,5.0,5.0,2.0,6.0,4.0,2.0,3.5,3.5,3.67,4.0,19.0,26.0,34.0,36.0,29.0,52,50,46,154,150,123.0,68.03999377528791,1
5.0,5.0,1.0,4.0,1.0,3.0,2.67,0.5,5.0,4.5,4.33,4.75,27.0,28.0,36.0,27.0,26.0,44,54,46,142,134,107.0,45.11749144102086,1
8.0,7.0,9.0,0.0,6.0,7.0,4.0,2.5,5.0,5.0,5.0,5.0,30.0,36.0,40.0,38.0,34.0,46,56,42,148,134,110.0,49.68098350451292,1
8.0,5.0,3.0,2.0,5.0,5.0,4.0,2.25,4.0,4.0,3.67,4.25,35.0,39.0,30.0,29.0,36.0,50,54,40,154,140,117.0,59.5666044195456,1
6.0,6.0,9.0,0.0,1.0,4.0,4.33,4.5,4.25,5.0,4.67,5.0,33.0,23.0,37.0,34.0,36.0,48,60,44,156,140,114.0,58.70681605975724,1
6.0,5.0,8.0,7.0,6.0,2.0,2.0,1.25,4.75,4.5,4.67,4.5,27.0,36.0,39.0,25.0,33.0,50,52,44,152,144,116.0,60.00622471210707,1
5.0,1.0,3.0,1.0,1.0,4.0,5.0,2.75,4.75,4.5,5.0,4.75,21.0,39.0,33.0,27.0,23.0,44,58,44,146,132,108.0,46.584189231248054,1
8.0,8.0,8.0,5.0,4.0,8.0,3.67,0.75,4.75,4.0,4.67,2.5,28.0,34.0,36.0,27.0,29.0,46,50,44,142,136,111.0,48.47883597883598,1
6.0,1.0,3.0,2.0,4.0,5.0,4.33,2.5,3.5,3.5,4.0,3.75,18.0,29.0,34.0,36.0,23.0,52,50,46,154,150,124.0,68.635231870526,1
6.0,1.0,4.0,4.0,2.0,4.0,2.33,2.5,4.25,4.0,4.67,4.25,20.0,24.0,31.0,22.0,23.0,52,52,48,156,152,122.0,69.35107376283847,1
7.0,0.0,4.0,1.0,3.0,6.0,4.67,2.75,4.5,2.5,5.0,4.75,32.0,33.0,30.0,29.0,24.0,48,54,42,150,138,116.0,56.13912231559291,1
6.0,7.0,6.0,6.0,7.0,5.0,2.67,0.5,5.0,4.0,4.33,4.25,26.0,29.0,39.0,33.0,24.0,58,54,46,170,162,135.0,88.47261126672892,2
6.0,0.0,6.0,1.0,2.0,1.0,4.0,2.0,4.25,4.5,4.67,4.25,24.0,34.0,40.0,34.0,27.0,44,56,46,144,134,108.0,46.63865546218487,1
5.0,5.0,3.0,2.0,8.0,5.0,1.33,0.0,4.0,0.5,3.67,3.0,26.0,31.0,26.0,28.0,34.0,50,44,40,144,140,115.0,53.74649859943978,1
7.0,6.0,3.0,0.0,2.0,2.0,3.67,1.75,4.0,4.5,4.33,3.75,28.0,31.0,34.0,32.0,26.0,46,52,42,144,134,111.0,48.42436974789916,1
5.0,0.0,2.0,4.0,2.0,1.0,1.33,1.25,4.5,5.0,4.0,4.25,12.0,25.0,27.0,19.0,27.0,44,52,48,140,136,106.0,44.576719576719576,1
7.0,7.0,2.0,3.0,2.0,6.0,4.67,0.25,4.5,4.0,5.0,2.75,26.0,34.0,25.0,22.0,27.0,52,54,42,158,146,124.0,68.52629940865236,1
6.0,5.0,5.0,7.0,8.0,2.0,2.0,2.5,4.75,4.5,4.33,3.75,21.0,32.0,36.0,16.0,26.0,52,50,48,154,152,122.0,68.42514783691254,1
7.0,1.0,4.0,3.0,2.0,2.0,4.0,1.75,5.0,5.0,4.67,4.25,29.0,34.0,21.0,29.0,29.0,46,56,40,148,132,112.0,49.891067538126364,1
4.0,0.0,1.0,4.0,3.0,2.0,2.67,2.5,1.75,3.0,4.0,2.0,21.0,21.0,27.0,26.0,20.0,42,44,46,128,130,103.0,34.2942732648615,0
5.0,0.0,4.0,3.0,1.0,2.0,4.33,2.5,5.0,4.5,5.0,4.5,19.0,28.0,39.0,33.0,29.0,44,56,48,144,136,108.0,47.61904761904762,1
7.0,2.0,5.0,0.0,3.0,7.0,3.0,2.0,3.75,4.5,4.67,4.25,35.0,33.0,29.0,37.0,36.0,48,52,40,148,136,113.0,52.44708994708996,1
5.0,5.0,7.0,1.0,2.0,2.0,4.0,1.75,4.0,4.5,3.67,3.5,24.0,31.0,34.0,19.0,30.0,44,52,46,140,134,107.0,44.19156551509493,1
3.0,2.0,5.0,4.0,3.0,1.0,1.67,3.75,3.75,4.0,4.33,3.5,10.0,19.0,38.0,22.0,28.0,48,50,50,146,146,114.0,57.01836290071585,1
7.0,8.0,5.0,5.0,8.0,6.0,1.0,0.75,3.75,1.0,3.33,0.0,31.0,35.0,31.0,24.0,27.0,54,40,44,148,152,125.0,67.43308434484905,1
7.0,7.0,7.0,7.0,7.0,7.0,4.67,4.75,5.0,2.5,4.67,3.75,23.0,31.0,37.0,32.0,31.0,56,54,44,166,156,130.0,80.70339246809837,2
5.0,7.0,7.0,6.0,1.0,1.0,1.67,1.5,4.0,4.0,4.33,3.75,20.0,27.0,31.0,15.0,29.0,50,50,48,150,148,118.0,62.231559290382826,1
6.0,0.0,5.0,6.0,5.0,4.0,3.0,1.5,4.5,4.0,4.67,3.75,19.0,35.0,32.0,31.0,30.0,56,52,44,164,156,131.0,80.37270463741052,2
7.0,2.0,4.0,3.0,3.0,4.0,1.67,2.5,5.0,5.0,5.0,3.5,24.0,34.0,39.0,36.0,22.0,52,50,46,154,150,122.0,67.4447556800498,1
5.0,5.0,6.0,6.0,3.0,4.0,3.0,1.25,3.5,3.0,3.67,3.5,14.0,31.0,30.0,20.0,30.0,52,46,46,150,150,122.0,65.59290382819795,1
8.0,8.0,9.0,4.0,9.0,4.0,4.67,2.75,3.75,5.0,5.0,4.5,27.0,37.0,37.0,23.0,23.0,46,56,46,148,138,112.0,52.8322440087146,1
6.0,4.0,2.0,2.0,5.0,5.0,4.67,2.25,4.0,3.0,5.0,4.25,21.0,35.0,38.0,35.0,26.0,54,54,46,162,154,128.0,76.68067226890756,2
7.0,9.0,7.0,5.0,6.0,5.0,5.0,2.0,4.75,4.0,4.67,2.5,35.0,29.0,34.0,24.0,31.0,56,52,44,164,156,130.0,79.77746654217243,2
5.0,7.0,5.0,7.0,7.0,4.0,1.0,0.0,3.5,4.0,3.67,3.75,25.0,24.0,25.0,26.0,28.0,56,46,44,158,156,129.0,76.40445066915656,2
8.0,5.0,4.0,7.0,1.0,6.0,4.0,-0.25,4.0,4.5,5.0,4.0,18.0,30.0,37.0,21.0,31.0,50,56,48,156,148,118.0,65.0093370681606,1
7.0,5.0,2.0,4.0,4.0,5.0,-1.67,1.25,5.0,5.0,5.0,4.5,15.0,36.0,29.0,34.0,26.0,56,52,44,164,156,130.0,79.77746654217243,2
7.0,3.0,7.0,4.0,6.0,5.0,4.33,3.5,4.5,4.5,4.33,4.25,28.0,27.0,30.0,33.0,23.0,58,58,44,174,160,136.0,89.93930905695613,2
7.0,9.0,6.0,9.0,5.0,7.0,1.67,0.0,5.0,5.0,5.0,4.75,25.0,33.0,27.0,33.0,32.0,50,52,42,152,142,116.0,59.02583255524433,1
6.0,1.0,7.0,0.0,5.0,6.0,4.67,0.75,5.0,5.0,3.67,5.0,36.0,32.0,34.0,40.0,33.0,52,54,40,158,144,121.0,65.76019296607532,1
4.0,1.0,1.0,2.0,2.0,3.0,1.33,-0.25,2.75,1.5,2.33,1.75,20.0,21.0,37.0,30.0,29.0,40,38,48,118,128,96.0,24.51758481170246,0
6.0,2.0,6.0,7.0,1.0,1.0,1.67,1.25,3.75,3.5,4.0,2.5,21.0,31.0,35.0,21.0,26.0,50,44,46,144,146,118.0,58.4733893557423,1
8.0,6.0,7.0,9.0,4.0,6.0,4.0,1.0,2.75,1.0,3.33,4.25,15.0,24.0,36.0,29.0,27.0,52,48,48,152,152,123.0,68.09446000622472,1
3.0,3.0,5.0,8.0,4.0,3.0,1.0,-0.25,2.5,2.0,2.0,1.5,22.0,23.0,16.0,10.0,22.0,48,36,46,132,142,112.0,47.38562091503268,1
6.0,5.0,0.0,2.0,5.0,4.0,1.33,0.0,2.25,-2.5,0.0,1.75,18.0,28.0,34.0,34.0,24.0,52,36,46,140,150,120.0,59.772798008092124,1
6.0,0.0,6.0,6.0,4.0,5.0,-0.33,1.25,1.5,1.5,2.67,2.75,18.0,22.0,21.0,13.0,20.0,56,40,46,152,158,129.0,74.60706504824152,1
8.0,8.0,9.0,5.0,4.0,4.0,4.0,1.0,4.0,5.0,4.0,4.25,28.0,31.0,40.0,30.0,26.0,48,56,44,152,140,116.0,58.04544039838158,1
4.0,0.0,1.0,4.0,2.0,1.0,0.33,-0.5,1.25,-1.0,0.33,0.25,17.0,23.0,25.0,15.0,20.0,42,36,46,120,130,100.0,28.80485527544351,0
6.0,6.0,5.0,8.0,6.0,4.0,1.67,3.25,2.75,1.5,3.33,3.25,16.0,32.0,35.0,22.0,31.0,56,44,44,156,156,127.0,74.28804855275445,1
5.0,5.0,4.0,1.0,6.0,4.0,1.0,2.5,1.0,5.0,3.0,3.75,21.0,31.0,23.0,22.0,21.0,52,44,44,148,148,121.0,63.09134765017118,1
4.0,1.0,5.0,8.0,0.0,2.0,0.33,-0.25,1.5,1.0,2.67,2.0,23.0,25.0,23.0,30.0,21.0,42,38,44,122,128,101.0,29.34562713974479,0
4.0,1.0,4.0,5.0,3.0,2.0,2.67,0.75,3.0,3.0,3.0,2.75,27.0,31.0,32.0,29.0,32.0,46,46,40,138,132,108.0,42.88048552754436,1
5.0,1.0,4.0,4.0,1.0,3.0,0.33,0.75,1.75,2.5,2.33,2.0,27.0,26.0,32.0,24.0,26.0,46,36,46,128,138,108.0,41.192032368502964,1
6.0,1.0,1.0,2.0,4.0,3.0,0.67,0.5,3.75,3.5,3.0,2.25,26.0,33.0,39.0,16.0,27.0,46,42,46,134,138,109.0,44.56504824151883,1
6.0,5.0,3.0,2.0,3.0,2.0,3.67,0.25,3.25,4.5,4.0,3.25,23.0,32.0,36.0,26.0,29.0,46,50,46,142,138,111.0,49.45922813569873,1
4.0,1.0,2.0,0.0,3.0,0.0,0.0,4.25,0.0,2.5,4.67,3.5,26.0,27.0,30.0,28.0,21.0,40,46,44,126,124,98.0,27.450980392156865,0
6.0,1.0,9.0,6.0,4.0,2.0,3.0,0.0,0.5,1.0,2.67,1.25,18.0,26.0,27.0,25.0,25.0,48,40,48,136,144,114.0,51.40834111422347,1
7.0,2.0,5.0,8.0,3.0,7.0,3.67,2.0,2.25,0.5,3.67,3.25,28.0,34.0,37.0,32.0,29.0,48,42,44,138,140,114.0,50.37348272642391,1
4.0,1.0,4.0,4.0,1.0,1.0,3.67,3.5,4.25,4.5,4.0,3.25,22.0,26.0,31.0,21.0,33.0,46,54,46,146,138,109.0,50.12060379707439,1
6.0,7.0,5.0,5.0,9.0,5.0,1.33,-0.75,3.0,3.5,1.33,3.5,21.0,29.0,30.0,19.0,18.0,58,42,48,158,164,132.0,82.11173358232183,2
7.0,7.0,6.0,2.0,7.0,6.0,2.67,2.0,3.25,3.0,2.33,1.75,18.0,18.0,27.0,25.0,24.0,56,42,48,154,160,129.0,76.51338313103021,2
7.0,4.0,2.0,8.0,9.0,4.0,4.33,2.25,3.25,0.0,4.67,3.5,23.0,29.0,39.0,32.0,19.0,50,48,48,148,148,120.0,62.49610955493309,1
6.0,2.0,5.0,5.0,6.0,4.0,0.67,1.5,4.75,4.0,5.0,4.25,29.0,31.0,38.0,22.0,31.0,58,52,44,168,160,132.0,84.78057889822595,2
7.0,8.0,8.0,5.0,5.0,6.0,1.67,2.5,4.5,1.0,5.0,4.75,31.0,27.0,30.0,25.0,19.0,52,48,46,152,150,122.0,66.51882975412389,1
3.0,6.0,3.0,5.0,2.0,4.0,1.67,2.75,3.5,0.0,3.67,3.25,23.0,27.0,31.0,24.0,24.0,52,44,48,148,152,121.0,65.05213196389668,1
4.0,5.0,5.0,2.0,2.0,5.0,5.0,2.5,5.0,4.0,1.67,4.5,22.0,26.0,40.0,29.0,28.0,50,52,48,152,148,118.0,63.15748521630875,1
5.0,3.0,5.0,3.0,5.0,4.0,-0.33,2.5,3.5,4.0,-1.33,4.5,24.0,27.0,30.0,18.0,27.0,54,46,48,154,156,124.0,71.57640834111423,1
5.0,4.0,6.0,4.0,2.0,2.0,1.67,-0.25,3.75,4.0,1.33,4.0,26.0,20.0,34.0,25.0,22.0,48,46,46,142,142,112.0,52.015250544662315,1
6.0,3.0,7.0,4.0,4.0,4.0,1.33,-0.25,4.0,0.5,1.67,1.75,12.0,24.0,37.0,30.0,16.0,58,40,48,156,164,132.0,81.1858076563959,2
4.0,2.0,5.0,1.0,4.0,4.0,2.67,2.0,4.75,3.0,4.0,3.0,24.0,21.0,38.0,29.0,26.0,52,50,48,154,152,123.0,69.02038593215065,1
7.0,2.0,7.0,0.0,5.0,4.0,1.33,0.0,3.75,3.0,3.67,1.75,15.0,21.0,33.0,31.0,18.0,54,42,46,150,154,125.0,69.33940242763774,1
6.0,4.0,7.0,5.0,6.0,7.0,4.67,2.5,2.5,4.5,4.33,4.5,17.0,33.0,40.0,29.0,29.0,56,52,46,164,158,132.0,81.94833488951137,2
7.0,7.0,5.0,5.0,7.0,4.0,5.0,0.0,5.0,-5.0,5.0,5.0,19.0,19.0,21.0,31.0,33.0,58,52,42,168,158,134.0,84.99066293183941,2
6.0,1.0,4.0,6.0,7.0,4.0,1.67,0.0,0.0,-4.5,1.67,1.75,18.0,24.0,34.0,34.0,16.0,54,36,46,144,154,124.0,65.96638655462185,1
4.0,0.0,1.0,1.0,1.0,2.0,4.67,2.25,4.5,3.5,4.33,4.75,24.0,24.0,25.0,30.0,27.0,38,54,44,130,120,96.0,26.151571739807036,0
6.0,8.0,6.0,5.0,8.0,7.0,2.0,3.0,4.75,1.0,5.0,4.25,27.0,27.0,37.0,27.0,22.0,52,50,46,154,150,122.0,67.4447556800498,1
5.0,3.0,4.0,3.0,7.0,6.0,2.0,2.5,4.75,3.5,3.33,4.5,25.0,27.0,37.0,34.0,25.0,52,48,48,152,152,121.0,66.90398381574853,1
6.0,2.0,6.0,5.0,3.0,5.0,1.67,3.0,4.5,2.5,4.0,4.5,25.0,27.0,33.0,33.0,31.0,54,50,44,158,152,124.0,71.46747587924058,1
4.0,1.0,2.0,1.0,5.0,4.0,0.67,0.0,5.0,3.5,1.67,4.0,17.0,20.0,35.0,28.0,21.0,48,46,46,142,142,112.0,52.015250544662315,1
4.0,2.0,3.0,6.0,1.0,2.0,2.0,0.75,4.0,1.5,4.33,1.0,17.0,28.0,35.0,28.0,28.0,46,44,46,136,138,110.0,46.08621226268286,1
2.0,0.0,4.0,5.0,3.0,0.0,3.33,1.75,3.5,1.5,3.0,4.0,25.0,22.0,27.0,29.0,29.0,46,46,46,138,138,110.0,47.01213818860877,1
6.0,8.0,5.0,2.0,4.0,6.0,4.33,4.75,4.5,4.5,4.67,5.0,22.0,30.0,40.0,31.0,34.0,54,60,46,168,154,126.0,78.26797385620915,2
6.0,7.0,5.0,5.0,9.0,7.0,1.33,0.0,4.25,2.5,4.67,1.75,29.0,29.0,26.0,18.0,16.0,56,44,46,156,158,130.0,77.05415499533146,2
5.0,5.0,4.0,2.0,2.0,3.0,4.0,2.75,3.5,5.0,2.67,1.25,23.0,30.0,20.0,13.0,20.0,46,50,46,142,138,111.0,49.45922813569873,1
6.0,9.0,7.0,8.0,8.0,6.0,5.0,2.0,4.25,4.5,1.67,3.75,18.0,35.0,40.0,32.0,30.0,50,50,46,150,146,118.0,61.251167133520084,1
3.0,1.0,6.0,5.0,2.0,3.0,1.67,2.0,4.5,4.0,4.33,4.25,28.0,34.0,33.0,30.0,13.0,46,52,42,144,134,110.0,47.82913165266107,1
4.0,6.0,8.0,2.0,5.0,8.0,5.0,2.0,4.75,4.5,5.0,4.75,31.0,28.0,38.0,32.0,33.0,50,56,44,156,144,118.0,63.04855275443511,1
4.0,0.0,3.0,7.0,1.0,3.0,2.0,2.25,3.75,0.0,4.67,4.5,22.0,26.0,39.0,22.0,32.0,44,46,48,134,136,104.0,40.608465608465615,1
6.0,5.0,6.0,3.0,8.0,7.0,5.0,2.5,5.0,-5.0,5.0,4.5,23.0,26.0,30.0,14.0,29.0,52,52,48,156,152,124.0,70.54154995331467,1
6.0,5.0,5.0,5.0,3.0,8.0,2.33,0.75,3.0,3.0,2.0,3.0,16.0,14.0,12.0,13.0,17.0,52,42,46,146,150,120.0,62.55057578586991,1
5.0,2.0,2.0,4.0,3.0,6.0,3.67,-0.5,3.5,3.5,1.0,3.25,28.0,32.0,32.0,29.0,33.0,50,44,40,144,140,115.0,53.74649859943978,1
8.0,6.0,5.0,5.0,4.0,7.0,3.0,-0.25,4.25,2.5,4.0,4.0,31.0,32.0,34.0,35.0,29.0,54,50,42,158,150,127.0,72.27279800809212,1
4.0,8.0,8.0,2.0,6.0,6.0,5.0,-2.25,5.0,5.0,4.33,4.75,19.0,27.0,34.0,31.0,17.0,48,56,46,152,142,116.0,59.02583255524433,1
5.0,1.0,6.0,5.0,4.0,4.0,5.0,4.5,4.75,0.0,4.33,4.25,33.0,19.0,28.0,27.0,21.0,54,56,44,164,152,128.0,76.62620603797075,2
5.0,3.0,5.0,5.0,7.0,2.0,1.0,-0.25,5.0,3.0,5.0,3.0,29.0,19.0,28.0,27.0,20.0,50,48,44,148,144,118.0,59.344849050731405,1
3.0,1.0,4.0,5.0,3.0,3.0,1.67,2.0,5.0,2.0,5.0,1.5,24.0,17.0,30.0,27.0,23.0,46,44,46,136,138,110.0,46.08621226268286,1
5.0,2.0,1.0,2.0,7.0,6.0,2.0,0.0,4.5,3.5,4.67,-1.0,25.0,31.0,35.0,21.0,24.0,48,46,46,142,142,114.0,53.205726735138505,1
3.0,4.0,5.0,4.0,2.0,6.0,1.67,2.5,5.0,5.0,5.0,5.0,12.0,31.0,37.0,26.0,22.0,52,52,46,156,150,122.0,68.37068160597572,1
4.0,2.0,1.0,1.0,7.0,6.0,1.67,1.5,4.75,2.0,1.0,-2.0,20.0,29.0,31.0,32.0,23.0,46,40,46,132,138,108.0,43.04388422035481,1
5.0,2.0,3.0,1.0,4.0,5.0,2.0,0.0,4.5,1.5,3.33,-1.0,17.0,22.0,21.0,26.0,20.0,50,42,44,142,144,117.0,55.971833177715546,1
6.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,3.5,4.0,0.75,24.0,26.0,25.0,15.0,28.0,54,46,46,154,154,126.0,71.78649237472767,1
7.0,1.0,4.0,6.0,4.0,3.0,2.0,0.75,4.75,4.5,5.0,3.75,28.0,27.0,33.0,15.0,25.0,52,50,46,154,150,122.0,67.4447556800498,1
4.0,5.0,4.0,4.0,3.0,4.0,5.0,0.0,2.5,5.0,4.67,4.75,21.0,23.0,29.0,21.0,16.0,52,52,48,156,152,124.0,70.54154995331467,1
7.0,7.0,4.0,5.0,7.0,4.0,5.0,0.0,5.0,3.0,5.0,4.75,28.0,24.0,33.0,32.0,28.0,58,54,44,170,160,136.0,88.08745720510429,2
4.0,4.0,5.0,3.0,2.0,4.0,5.0,0.0,3.0,0.0,5.0,5.0,22.0,22.0,22.0,14.0,21.0,50,50,46,150,146,120.0,62.44164332399627,1
2.0,1.0,2.0,5.0,5.0,4.0,2.67,2.75,5.0,3.0,4.33,3.75,20.0,20.0,31.0,27.0,23.0,52,52,46,156,150,123.0,68.96591970121383,1
6.0,1.0,4.0,1.0,2.0,4.0,1.67,0.0,5.0,-5.0,5.0,2.5,20.0,17.0,33.0,25.0,16.0,48,44,48,140,144,114.0,53.26019296607532,1
1.0,1.0,5.0,7.0,1.0,1.0,1.67,0.0,5.0,0.0,-1.67,0.0,12.0,16.0,20.0,16.0,24.0,44,40,46,128,134,104.0,36.85029567382509,0
5.0,1.0,5.0,3.0,2.0,2.0,5.0,0.0,2.5,5.0,1.67,5.0,10.0,12.0,15.0,16.0,23.0,44,48,46,136,134,106.0,41.74447556800498,1
7.0,1.0,2.0,7.0,2.0,0.0,1.67,2.5,2.5,5.0,5.0,2.5,14.0,24.0,34.0,32.0,27.0,46,44,46,136,138,110.0,46.08621226268286,1
5.0,0.0,4.0,3.0,6.0,4.0,4.67,-0.75,2.0,-0.5,5.0,1.0,22.0,24.0,35.0,22.0,22.0,52,44,48,148,152,124.0,66.83784624961096,1
7.0,7.0,9.0,6.0,7.0,7.0,4.67,2.5,4.75,5.0,5.0,4.5,26.0,26.0,40.0,30.0,22.0,52,56,46,160,150,124.0,71.41300964830377,1
8.0,9.0,6.0,3.0,6.0,9.0,3.0,1.5,5.0,2.0,4.33,3.25,27.0,36.0,40.0,40.0,33.0,48,48,42,144,138,113.0,51.57563025210084,1
5.0,3.0,4.0,6.0,3.0,4.0,5.0,1.25,5.0,2.5,5.0,3.75,10.0,34.0,17.0,12.0,15.0,52,50,44,154,148,124.0,67.65483971366325,1
4.0,2.0,4.0,2.0,3.0,4.0,-1.0,-2.25,5.0,0.0,5.0,5.0,16.0,13.0,17.0,26.0,17.0,50,48,44,148,144,118.0,59.344849050731405,1
9.0,9.0,8.0,7.0,6.0,6.0,2.33,0.0,4.75,0.0,5.0,2.5,23.0,26.0,38.0,26.0,22.0,48,44,48,140,144,114.0,53.26019296607532,1
5.0,0.0,5.0,3.0,4.0,4.0,1.67,2.5,2.5,5.0,1.67,2.5,16.0,12.0,32.0,36.0,18.0,52,40,46,144,150,120.0,61.624649859943986,1
3.0,1.0,4.0,2.0,4.0,4.0,5.0,-0.25,4.25,4.0,4.67,4.0,21.0,24.0,30.0,26.0,21.0,52,56,46,160,150,124.0,71.41300964830377,1
4.0,1.0,4.0,2.0,4.0,4.0,5.0,-0.25,4.25,4.0,4.67,4.0,22.0,25.0,32.0,24.0,18.0,52,56,48,160,152,124.0,72.39340180516652,1
7.0,1.0,6.0,2.0,6.0,5.0,5.0,1.25,5.0,2.5,3.33,4.75,26.0,25.0,29.0,18.0,32.0,54,50,44,158,152,125.0,72.06271397447868,1
6.0,5.0,4.0,6.0,6.0,5.0,1.67,4.5,2.5,0.0,2.0,3.0,25.0,27.0,22.0,10.0,17.0,58,42,46,158,162,132.0,81.13134142545907,2
6.0,2.0,2.0,2.0,4.0,3.0,4.67,2.0,3.25,1.5,4.67,2.25,18.0,28.0,30.0,22.0,24.0,50,46,48,146,148,120.0,61.57018362900717,1
5.0,3.0,6.0,2.0,3.0,5.0,2.0,2.25,5.0,-0.5,5.0,2.5,24.0,26.0,34.0,32.0,11.0,50,44,46,144,146,118.0,58.4733893557423,1
4.0,1.0,3.0,1.0,3.0,2.0,3.0,2.5,5.0,2.5,4.0,4.75,20.0,27.0,36.0,25.0,27.0,40,50,50,130,130,99.0,32.839246809835046,0
